2018-05-30 0:21:03, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-30 0:21:03, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1526265143868626&merId=7000000293&merchantNum=200370148160002&orderId=2018053000210327286&productCode=0202&signMethod=01&txnAmt=200&txnSubType=02&txnTime=20180530002103&txnType=02&version=1.0 
2018-05-30 0:21:03, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >77ada9ed33fc7e606b3df5598f54c4b70dcc5167 
2018-05-30 0:21:04, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[28]------ 签名串为 >MG/Y5F1G1ctVdr1STuYTqRljOXIhussOGiu7RwApNSgbI9gmIndfi+wf/SazJU+h7Sest282ixON8ZU5VaPDDQ+kgF6xBi0S1QaiX9IiiAOo3cAlUN0zJtDDoMZCRPncqPW/T4NJS5kC+iEqeGDiMV+r74Xx+GE5khOK4ZpBym7HnxKsc8jbZjMvb52Az3JV8RqCf5SVniaWVQIOkZFz04BnqToZEuI9ubkcwxM4NLR4J0ONbiP6mLgfgxQ5OEoObvng7RTDzfpO2CZLo9/AjUFI8wto1kghp0k/m6/8Pf5c0D01ItjX4x86iCzDQLswrx+ym7db23Mo8b/1OBvkDQ== 
2018-05-30 0:21:04, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-05-30 0:21:06, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-05-30 0:21:06, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-05-30 0:21:06, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
2018-05-30 0:21:06, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[52]------ 报文去[signature] key=val&串>backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1493192193960028&merId=7000000293&merchantNum=200370148160002&orderId=2018053000210327286&payInfo=weixin://wxpay/bizpayurl?pr=GQfopwM&productCode=0202&queryId=18053080071029810125&respCode=66&respMsg=交易成功&signMethod=01&txnAmt=200&txnSubType=02&txnTime=20180530002103&txnType=02&version=1.0 
2018-05-30 0:21:06, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[56]------ 摘要shax16>319d31ddc1523b235f48a0cf2cf772ca37636de5 
2018-05-30 0:21:06, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[58]------ 验签成功 
2018-05-30 0:21:16, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[12]------ =====签名报文开始====== 
2018-05-30 0:21:16, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[18]------ 签名key=val&...串 >backUrl=http://pay.7zcyl.com/pay/sfb/notify_url.php&certId=1526265143868626&merId=7000000293&merchantNum=200370148160002&orderId=2018053000211673908&productCode=0203&signMethod=01&txnAmt=200&txnSubType=03&txnTime=20180530002116&txnType=02&version=1.0 
2018-05-30 0:21:16, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[21]------ 摘要sha1x16 >115cb7f7af2d89199e5b40028f457e44b9de148e 
2018-05-30 0:21:16, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[28]------ 签名串为 >Y3WRMiT5gWhYfzfY1GId0TzOkqq6SuaiCBHjnlyRHMEbXI7DIPiU4ULAXdhURbDbki5KO+tpyWXzUlQ+7xL07Qg6Fhu61Tem4qMxPqefxDXq4lk4Lmqc4Brk665JOZ82+HaKAoazOmv09VczUGWfw4dIgXu66e1yVkqZ5K26PtwTKxF7wp3a9jIpR/IjQx7u0sjAuHjJdKDCNwCAvuoK0UFuPDbmyMv+5NdexKLufrFuPl1nkY6dLjE1V/Ii5VT9fZlmfbyvhRMrJM7lZCaR2fHBh+V2kuKPTt2WFnvC/r4Vt6dB6q7WI5V56xA2qiBsxBGepozBMD5QrYCATYdy/Q== 
2018-05-30 0:21:16, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[33]------ =====签名报文结束====== 
2018-05-30 0:21:18, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[71]------ 报文返回的证书ID>1493192193960028 
2018-05-30 0:21:18, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[74]------ 验证签名证书目录 :>./assets/certs/ 
2018-05-30 0:21:18, INFO, 124.133.166.34, File[ D:\wwwroot\paymall\wwwroot\pay\sfb\sdk\secureUtil.php ], Line[84]------ 加载验签证书成功 
